1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,2,15
1,2,16
1,2,17
1,2,18
1,2,19
1,2,20
1,2,21
1,2,22
1,2,23
1,2,24
1,2,25
1,2,26
1,2,27
1,2,28
1,2,29
1,2,30
1,3,31
1,3,32
1,3,33
1,3,34
1,3,35
1,3,36
1,3,37
1,3,38
1,3,39
1,3,40
1,3,41
1,3,42
1,3,43
1,3,44
1,3,45
1,3,46
1,4,47
1,4,48
1,4,49
1,4,50
1,4,51
1,4,52
1,4,53
1,4,54
1,4,55
1,4,56
1,4,57
1,4,58
1,4,59
1,4,60
1,4,61
1,4,62
1,4,63
2,5,64
2,5,65
2,5,66
2,5,67
2,5,68
2,5,69
2,5,70
2,5,71
2,5,72
2,5,73
2,5,74
2,5,75
2,5,76
2,5,77
2,6,78
2,6,79
2,6,80
2,6,81
2,6,82
2,6,83
2,6,84
2,6,85
2,6,86
2,6,87
2,6,88
2,6,89
2,6,90
2,6,91
2,6,92
2,6,93
2,6,94
2,6,95
2,6,96
2,6,97
2,6,98
2,6,99
2,6,100
2,6,101
2,6,102
2,6,103
2,6,104
2,6,105
2,6,106
2,6,107
2,7,108
2,7,109
2,7,110
2,7,111
2,7,112
2,7,113
2,7,114
2,7,115
2,7,116
2,7,117
2,7,118
2,7,119
2,7,120
3,8,121
3,8,122
3,8,123
3,8,124
3,8,125
3,8,126
3,8,127
3,8,128
3,8,129
3,8,130
3,8,131
3,8,132
3,9,133
3,9,134
3,9,135
3,9,136
3,9,137
3,9,138
3,9,139
3,9,140
3,9,141
3,9,142
3,9,143
3,9,144
3,9,145
3,9,146
3,9,147
3,9,148
3,9,149
3,9,150
3,10,151
3,10,152
3,10,153
3,10,154
3,10,155
3,10,156
3,10,157
