1,3
2,16
3,17
4,18
5,26
6,29
7,7
8,2
9,13
10,24
11,12
12,3
13,26
14,30
15,20
16,24
17,20
18,21
19,21
20,15
21,3
22,29
23,9
24,8
25,1
26,31
27,22
28,18
29,12
30,30
31,29
32,6
33,15
34,2
35,19
36,20
37,19
38,13
39,11
40,1
41,17
42,28
43,25
44,26
45,24
46,12
47,6
48,27
49,32
50,2
51,5
52,16
53,32
54,26
55,26
56,19
57,25
58,5
59,12
60,15
61,21
62,16
63,23
64,2
65,25
66,31
67,24
68,33
69,9
70,9
71,9
72,10
73,10
74,11
75,30
76,4
77,18
78,33
79,16
80,32
81,1
82,15
83,18
84,13
85,20
86,27
87,15
88,26
89,4
90,30
91,20
92,12
93,20
94,31
95,14
96,5
97,26
98,33
99,10
100,28
101,6
102,7
103,16
104,9
105,25
106,29
107,14
108,9
109,11
110,3
111,21
112,26
113,17
114,33
115,23
116,1
117,14
118,6
119,33
120,10
121,9
122,10
123,5
124,10
125,22
126,5
127,20
128,24
129,24
130,16
131,31
132,15
133,6
134,15
135,2
136,21
137,25
138,32
139,1
140,8
141,30
142,21
143,17
144,15
145,7
146,7
147,10
148,9
149,17
150,18
151,19
152,19
153,30
154,24
155,3
156,8
157,24
